Transition	Tag	Frequency(Ghz)	Eup(K)	Aij	Tau	Tex	Intensity(K)
C7H (40 -1 40.5 41 _ 39 1 39.5 40) 	85501	70829.858	70.505	7.22E-5	0.000E0	0	0.00E0	
C7H (40 -1 40.5 40 _ 39 1 39.5 39) 	85501	70829.882	70.505	7.22E-5	0.000E0	0	0.00E0	
CH3COOH, vt=0 (15 9 7 0 2 _ 15 7 8 0 1) 	60523	70830.627	106.563	3.71E-7	0.000E0	0	0.00E0	
C7H (40 1 40.5 41 _ 39 -1 39.5 40) 	85501	70831.619	70.508	7.22E-5	0.000E0	0	0.00E0	
C7H (40 1 40.5 40 _ 39 -1 39.5 39) 	85501	70831.644	70.508	7.22E-5	0.000E0	0	0.00E0	
CH3OCH3 (3 3 1 1 _ 4 2 3 1) 	46008	70835.510	18.118	4.79E-8	0.000E0	0	0.00E0	
CH3OCH3 (3 3 0 3 _ 4 2 3 3) 	46008	70837.320	18.118	1.01E-7	0.000E0	0	0.00E0	
CH3OCH3 (3 3 0 0 _ 4 2 3 0) 	46008	70844.458	18.118	1.01E-7	0.000E0	0	0.00E0	
CH3OCH3 (3 3 0 1 _ 4 2 3 1) 	46008	70845.665	18.118	5.29E-8	0.000E0	0	0.00E0	
CH3OCH3 (3 3 0 2 _ 4 2 3 2) 	46008	70847.261	18.119	5.05E-8	0.000E0	0	0.00E0	
CH3COOH, vt=1 (8 5 3 1 0 _ 8 4 5 1 0) 	60524	70881.298	138.437	2.34E-7	0.000E0	0	0.00E0	
C3H7CN (6 5 2 1 _ 7 3 5 1) 	69002	70924.404	146.491	7.95E-10	0.000E0	0	0.00E0	
CH3COOH, vt=0 (14 5 9 0 2 _ 13 8 6 0 1) 	60523	70934.510	84.53	1.15E-8	0.000E0	0	0.00E0	
CH3COCH3 (7 5 3 0 _ 6 6 1 1) 	58003	70940.426	23.139	1.67E-7	0.000E0	0	0.00E0	
CH3COOH, vt=0 (14 6 9 0 2 _ 13 8 6 0 1) 	60523	70945.982	84.531	2.64E-9	0.000E0	0	0.00E0	
C2H5CN (4 3 2 _ 5 2 3) 	55001	70950.084	14.31	2.11E-7	0.000E0	0	0.00E0	
C2H3CHO (5 2 4 0 _ 6 1 5 0) 	56008	70951.864	14.644	1.31E-7	0.000E0	0	0.00E0	
C3H7CN (8 3 5 1 _ 8 0 8 1) 	69002	70951.987	145.419	1.20E-7	0.000E0	0	0.00E0	
C2H3CHO (8 0 8 0 _ 7 0 7 0) 	56008	70961.724	15.35	1.82E-5	0.000E0	0	0.00E0	
