Transition	Tag	Frequency(Ghz)	Eup(K)	Aij	Tau	Tex	Intensity(K)
CH3COOH, vt=1 (9 2 8 1 0 _ 9 1 9 1 0) 	60524	89087.802	134.578	1.25E-6	0.000E0	0	0.00E0	
CH3COOH, vt=1 (9 2 8 1 0 _ 9 0 9 1 0) 	60524	89087.806	134.578	1.26E-7	0.000E0	0	0.00E0	
C2H3CHO (10 3 7 0 _ 9 3 6 0) 	56008	89093.174	42.038	3.32E-5	0.000E0	0	0.00E0	
C2H3CN (17 1 16 0 17 _ 17 0 17 0 16) 	53001	89111.628	73.306	6.90E-9	0.000E0	0	0.00E0	
C2H3CN (17 1 16 0 17 _ 17 0 17 0 18) 	53001	89111.673	73.306	6.90E-9	0.000E0	0	0.00E0	
C2H3CN (17 1 16 0 18 _ 17 0 17 0 18) 	53001	89112.997	73.307	2.11E-6	0.000E0	0	0.00E0	
C2H3CN (17 1 16 0 16 _ 17 0 17 0 16) 	53001	89112.998	73.307	2.11E-6	0.000E0	0	0.00E0	
C2H3CN (17 1 16 0 17 _ 17 0 17 0 17) 	53001	89113.124	73.306	2.10E-6	0.000E0	0	0.00E0	
C2H3CN (17 1 16 0 18 _ 17 0 17 0 17) 	53001	89114.448	73.306	6.52E-9	0.000E0	0	0.00E0	
C2H3CN (17 1 16 0 16 _ 17 0 17 0 17) 	53001	89114.495	73.306	7.31E-9	0.000E0	0	0.00E0	
CH3COOH, vt=0 (9 5 4 0 0 _ 9 4 6 0 0) 	60523	89119.442	40.611	2.43E-9	0.000E0	0	0.00E0	
C3H7CN (21 2 20 0 _ 21 0 21 0) 	69002	89129.498	53.098	3.92E-8	0.000E0	0	0.00E0	
C2H3CN (5 1 5 0 5 _ 4 0 4 0 5) 	53001	89129.657	8.827	7.21E-8	0.000E0	0	0.00E0	
C2H3CN (5 1 5 0 4 _ 4 0 4 0 3) 	53001	89130.836	8.827	1.71E-6	0.000E0	0	0.00E0	
C2H3CN (5 1 5 0 6 _ 4 0 4 0 5) 	53001	89130.918	8.827	1.80E-6	0.000E0	0	0.00E0	
C2H3CN (5 1 5 0 5 _ 4 0 4 0 4) 	53001	89130.957	8.827	1.73E-6	0.000E0	0	0.00E0	
C2H3CN (5 1 5 0 4 _ 4 0 4 0 5) 	53001	89131.160	8.827	8.90E-10	0.000E0	0	0.00E0	
C2H3CN (5 1 5 0 4 _ 4 0 4 0 4) 	53001	89132.460	8.827	8.81E-8	0.000E0	0	0.00E0	
CH3COOH, vt=0 (8 5 4 0 1 _ 7 6 1 0 2) 	60523	89163.508	31.778	2.66E-7	0.000E0	0	0.00E0	
C2H5OH,v=0 (4 1 4 0 _ 3 0 3 0) 	46524	89173.089	66.139	5.00E-8	0.000E0	0	0.00E0	
CH3CHO (8 0 8 2 _ 7 1 6 2) 	44003	89177.159	33.197	1.33E-9	0.000E0	0	0.00E0	
CH3COOH, vt=0 (18 10 9 0 2 _ 18 8 10 0 1) 	60523	89180.744	149.291	7.65E-7	0.000E0	0	0.00E0	
CH3COOH, vt=0 (5 4 1 0 0 _ 4 4 1 0 0) 	60523	89187.805	14.862	7.58E-8	0.000E0	0	0.00E0	
HCO+ v=0,1,2 (1 0 0 _ 0 0 0) 	29002	89188.523	4.28	4.16E-5	0.000E0	0	0.00E0	
CH3COCH3 (16 6 10 0 _ 16 5 11 1) 	58003	89193.336	99.849	1.36E-5	0.000E0	0	0.00E0	
CH3COOH, vt=1 (3 3 1 1 0 _ 2 1 1 1 0) 	60524	89195.179	111.839	1.06E-7	0.000E0	0	0.00E0	
CH3COCH3 (16 7 10 0 _ 16 6 11 1) 	58003	89199.562	99.849	1.36E-5	0.000E0	0	0.00E0	
CH3SH,v=0-2 (15 1 15 2 _ 14 2 13 2) 	48510	89222.558	149.228	2.22E-7	0.000E0	0	0.00E0	
CH3COCH3 (9 7 3 0 _ 8 8 0 0) 	58003	89271.169	38.351	4.06E-7	0.000E0	0	0.00E0	
C2H5CN (10 2 9 _ 9 2 8) 	55001	89297.660	28.048	5.62E-5	0.000E0	0	0.00E0	
CH3COCH3 (16 6 10 0 _ 16 5 11 0) 	58003	89305.216	99.797	1.36E-5	0.000E0	0	0.00E0	
CH3COCH3 (16 7 10 0 _ 16 6 11 0) 	58003	89311.626	99.797	1.36E-5	0.000E0	0	0.00E0	
CH3OCHO (8 1 8 1 _ 7 1 7 1) 	60003	89314.657	20.154	1.02E-5	0.000E0	0	0.00E0	
CH3OCHO (8 1 8 0 _ 7 1 7 0) 	60003	89316.642	20.136	1.02E-5	0.000E0	0	0.00E0	
CH3COOH, vt=0 (8 6 2 0 1 _ 8 4 5 0 2) 	60523	89322.174	33.928	3.39E-8	0.000E0	0	0.00E0	
CH3COOH, vt=0 (8 7 1 0 0 _ 8 4 4 0 0) 	60523	89337.851	36.262	6.05E-8	0.000E0	0	0.00E0	
CH3COCH3 (11 8 4 1 _ 11 5 6 2) 	58003	89346.798	55.354	7.36E-8	0.000E0	0	0.00E0	
C2H5CN (13 3 11 _ 14 1 14) 	55001	89367.602	49.15	8.26E-9	0.000E0	0	0.00E0	
CH3COCH3 (9 8 1 1 _ 9 5 4 2) 	58003	89371.310	40.594	1.54E-7	0.000E0	0	0.00E0	
C3H7CN (20 1 19 0 _ 19 1 18 0) 	69002	89391.938	46.122	5.23E-5	0.000E0	0	0.00E0	
CH3OCHO (11 1 10 2 _ 11 1 11 1) 	60003	89415.060	40.395	2.71E-7	0.000E0	0	0.00E0	
C2H5CN (24 3 21 _ 24 2 22) 	55001	89415.385	139.918	4.73E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (10 3 7 0 0 _ 9 4 5 0 0) 	60523	89429.401	43.124	6.38E-10	0.000E0	0	0.00E0	
C2H3CHO (10 2 8 0 _ 9 2 7 0) 	56008	89436.191	31.795	3.55E-5	0.000E0	0	0.00E0	
CH3OCHO (11 1 10 0 _ 11 1 11 0) 	60003	89466.620	40.379	2.72E-7	0.000E0	0	0.00E0	
CH3COOH, vt=0 (5 5 1 0 0 _ 5 2 4 0 0) 	60523	89497.908	15.808	4.36E-9	0.000E0	0	0.00E0	
CH3COOH, vt=0 (7 1 6 0 0 _ 6 2 5 0 0) 	60523	89516.954	19.593	6.40E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (7 2 6 0 0 _ 6 2 5 0 0) 	60523	89518.947	19.593	2.29E-6	0.000E0	0	0.00E0	
CH3COCH3 (7 4 3 1 _ 6 5 1 2) 	58003	89522.032	22.764	7.43E-7	0.000E0	0	0.00E0	
CH3COOH, vt=0 (9 7 3 0 0 _ 8 8 0 0 0) 	60523	89529.645	42.884	2.48E-9	0.000E0	0	0.00E0	
CH3COOH, vt=0 (7 1 6 0 0 _ 6 1 5 0 0) 	60523	89531.184	19.593	2.29E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (7 2 6 0 0 _ 6 1 5 0 0) 	60523	89533.178	19.593	6.40E-6	0.000E0	0	0.00E0	
C3H7CN (5 3 3 1 _ 4 1 4 1) 	69002	89534.964	139.343	3.29E-8	0.000E0	0	0.00E0	
CH3NH2 (2 1 0 _ 1 -1 1) 	31008	89554.651	10.785	2.36E-7	0.000E0	0	0.00E0	
CH3NH2 (2 1 2 _ 1 -1 3) 	31008	89557.402	10.557	2.36E-7	0.000E0	0	0.00E0	
CH3C4H (22 3 _ 21 3) 	64507	89561.328	117.278	5.85E-6	0.000E0	0	0.00E0	
C2H5CN (10 6 5 _ 9 6 4) 	55001	89562.301	63.667	3.78E-5	0.000E0	0	0.00E0	
C2H5CN (10 6 4 _ 9 6 3) 	55001	89562.301	63.667	3.78E-5	0.000E0	0	0.00E0	
C2H5CN (10 7 3 _ 9 7 2) 	55001	89565.021	78.107	3.01E-5	0.000E0	0	0.00E0	
C2H5CN (10 7 4 _ 9 7 3) 	55001	89565.021	78.107	3.01E-5	0.000E0	0	0.00E0	
CH3C4H (22 2 _ 21 2) 	64507	89565.690	79.591	5.91E-6	0.000E0	0	0.00E0	
C2H5CN (10 5 6 _ 9 5 5) 	55001	89568.104	51.443	4.43E-5	0.000E0	0	0.00E0	
C2H5CN (10 5 5 _ 9 5 4) 	55001	89568.104	51.443	4.43E-5	0.000E0	0	0.00E0	
CH3C4H (22 1 _ 21 1) 	64507	89568.307	56.975	5.94E-6	0.000E0	0	0.00E0	
CH3C4H (22 0 _ 21 0) 	64507	89569.180	49.435	5.96E-6	0.000E0	0	0.00E0	
C2H5CN (10 8 2 _ 9 8 1) 	55001	89573.113	94.758	2.13E-5	0.000E0	0	0.00E0	
C2H5CN (10 8 3 _ 9 8 2) 	55001	89573.113	94.758	2.13E-5	0.000E0	0	0.00E0	
C3H7CN (3 3 1 0 _ 4 2 2 0) 	69002	89582.836	10.541	1.45E-7	0.000E0	0	0.00E0	
C2H5CN (10 9 1 _ 9 9 0) 	55001	89584.987	113.616	1.12E-5	0.000E0	0	0.00E0	
C2H5CN (10 9 2 _ 9 9 1) 	55001	89584.987	113.616	1.12E-5	0.000E0	0	0.00E0	
CH3COOH, vt=0 (5 5 1 0 0 _ 5 1 4 0 0) 	60523	89589.394	15.808	8.98E-10	0.000E0	0	0.00E0	
C3H7CN (3 3 0 0 _ 4 2 3 0) 	69002	89589.792	10.54	1.45E-7	0.000E0	0	0.00E0	
C2H5CN (10 4 7 _ 9 4 6) 	55001	89590.246	41.439	4.96E-5	0.000E0	0	0.00E0	
C2H5CN (10 4 6 _ 9 4 5) 	55001	89590.703	41.439	4.96E-5	0.000E0	0	0.00E0	
C2H5OH,v=0 (4 1 4 1 _ 3 0 3 1) 	46524	89595.196	70.805	4.58E-8	0.000E0	0	0.00E0	
CH3COOH, vt=1 (8 0 8 1 2 _ 7 1 7 1 1) 	60524	89615.790	133.953	1.05E-5	0.000E0	0	0.00E0	
CH3COOH, vt=1 (8 1 8 1 2 _ 7 1 7 1 1) 	60524	89615.790	133.953	1.16E-7	0.000E0	0	0.00E0	
CH3COOH, vt=1 (8 0 8 1 2 _ 7 0 7 1 1) 	60524	89615.791	133.953	1.16E-7	0.000E0	0	0.00E0	
CH3COOH, vt=1 (8 1 8 1 2 _ 7 0 7 1 1) 	60524	89615.792	133.953	1.05E-5	0.000E0	0	0.00E0	
C2H5CN (10 3 8 _ 9 3 7) 	55001	89628.485	33.659	5.38E-5	0.000E0	0	0.00E0	
CH3COOH, vt=0 (7 1 6 0 1 _ 6 2 5 0 2) 	60523	89653.277	19.124	6.32E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (7 2 6 0 1 _ 6 2 5 0 2) 	60523	89656.432	19.124	2.37E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (7 1 6 0 1 _ 6 1 5 0 2) 	60523	89674.251	19.124	2.37E-6	0.000E0	0	0.00E0	
CH3COCH3 (15 5 10 1 _ 15 4 11 1) 	58003	89675.631	85.783	1.24E-5	0.000E0	0	0.00E0	
CH3COCH3 (15 5 10 1 _ 15 4 11 2) 	58003	89675.772	85.783	1.24E-5	0.000E0	0	0.00E0	
CH3COCH3 (15 6 10 1 _ 15 5 11 1) 	58003	89677.114	85.784	1.24E-5	0.000E0	0	0.00E0	
CH3COCH3 (15 6 10 1 _ 15 5 11 2) 	58003	89677.233	85.784	1.24E-5	0.000E0	0	0.00E0	
CH3COOH, vt=0 (7 2 6 0 1 _ 6 1 5 0 2) 	60523	89677.406	19.124	6.32E-6	0.000E0	0	0.00E0	
CH3COCH3 (9 7 3 1 _ 8 8 0 1) 	58003	89681.584	38.5	4.14E-7	0.000E0	0	0.00E0	
C2H5CN (10 3 7 _ 9 3 6) 	55001	89684.760	33.665	5.39E-5	0.000E0	0	0.00E0	
CH3OCH3 (2 2 1 2 _ 2 1 2 2) 	46008	89695.880	8.356	1.79E-6	0.000E0	0	0.00E0	
CH3OCH3 (2 2 1 3 _ 2 1 2 3) 	46008	89697.710	8.356	1.88E-6	0.000E0	0	0.00E0	
CH3OCH3 (2 2 1 1 _ 2 1 2 1) 	46008	89699.810	8.356	1.86E-6	0.000E0	0	0.00E0	
CH3OCH3 (2 2 1 0 _ 2 1 2 0) 	46008	89702.810	8.355	1.88E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (6 5 2 0 0 _ 5 5 0 0 0) 	60523	89730.532	20.516	1.66E-8	0.000E0	0	0.00E0	
CH3OCH3 (2 2 0 2 _ 2 1 2 2) 	46008	89734.544	8.358	8.67E-8	0.000E0	0	0.00E0	
CH3OCH3 (2 2 0 1 _ 2 1 2 1) 	46008	89735.720	8.357	2.42E-8	0.000E0	0	0.00E0	
CH3COOH, vt=0 (16 6 10 0 1 _ 15 8 7 0 2) 	60523	89737.242	110.624	5.86E-9	0.000E0	0	0.00E0	
CH3COCH3 (16 16 1 1 _ 16 15 2 2) 	58003	89740.236	130.42	3.85E-6	0.000E0	0	0.00E0	
C3H7CN (32 6 27 0 _ 33 5 28 0) 	69002	89741.132	149.119	7.07E-7	0.000E0	0	0.00E0	
CH3COOH, vt=0 (14 10 5 0 2 _ 13 12 2 0 1) 	60523	89742.035	97.696	2.18E-9	0.000E0	0	0.00E0	
C3H7CN (32 6 26 0 _ 33 5 29 0) 	69002	89743.288	149.119	7.07E-7	0.000E0	0	0.00E0	
CH3OCHO (11 1 10 2 _ 11 0 11 2) 	60003	89745.663	40.395	5.04E-7	0.000E0	0	0.00E0	
CH3COOH, vt=0 (16 7 10 0 1 _ 15 8 7 0 2) 	60523	89745.696	110.624	2.54E-8	0.000E0	0	0.00E0	
C3H7CN (22 2 21 0 _ 22 0 22 0) 	69002	89750.635	57.759	4.29E-8	0.000E0	0	0.00E0	
C2H3CHO (20 1 19 0 _ 19 2 18 0) 	56008	89752.202	93.573	4.75E-7	0.000E0	0	0.00E0	
CH3COOH, vt=0 (6 2 4 0 0 _ 5 2 3 0 0) 	60523	89756.195	17.4	1.98E-6	0.000E0	0	0.00E0	
CH3COCH3 (16 16 0 1 _ 16 15 1 1) 	58003	89777.072	130.537	3.85E-6	0.000E0	0	0.00E0	
CH3COCH3 (16 16 1 1 _ 16 15 2 1) 	58003	89777.185	130.537	3.85E-6	0.000E0	0	0.00E0	
C5N (32 32.5 32.5 _ 31 31.5 32.5) 	74501	89782.844	71.098	4.49E-8	0.000E0	0	0.00E0	
C5N (32 32.5 31.5 _ 31 31.5 30.5) 	74501	89785.853	71.098	4.75E-5	0.000E0	0	0.00E0	
C5N (32 32.5 32.5 _ 31 31.5 31.5) 	74501	89785.854	71.098	4.75E-5	0.000E0	0	0.00E0	
C5N (32 32.5 33.5 _ 31 31.5 32.5) 	74501	89785.855	71.098	4.75E-5	0.000E0	0	0.00E0	
C5N (32 32.5 31.5 _ 31 31.5 31.5) 	74501	89786.140	71.098	4.63E-8	0.000E0	0	0.00E0	
C5N (32 31.5 31.5 _ 31 30.5 31.5) 	74501	89796.419	71.114	4.80E-8	0.000E0	0	0.00E0	
C5N (32 31.5 30.5 _ 31 30.5 29.5) 	74501	89796.597	71.114	4.75E-5	0.000E0	0	0.00E0	
C5N (32 31.5 31.5 _ 31 30.5 30.5) 	74501	89796.597	71.114	4.75E-5	0.000E0	0	0.00E0	
C5N (32 31.5 32.5 _ 31 30.5 31.5) 	74501	89796.599	71.114	4.75E-5	0.000E0	0	0.00E0	
CH3OCHO (11 1 10 0 _ 11 0 11 0) 	60003	89796.918	40.379	5.05E-7	0.000E0	0	0.00E0	
C5N (32 31.5 30.5 _ 31 30.5 30.5) 	74501	89799.625	71.114	4.96E-8	0.000E0	0	0.00E0	
CH3COCH3 (15 5 10 0 _ 15 4 11 1) 	58003	89801.996	85.723	1.24E-5	0.000E0	0	0.00E0	
CH3COCH3 (15 6 10 0 _ 15 5 11 1) 	58003	89803.515	85.723	1.24E-5	0.000E0	0	0.00E0	
CH3COOH, vt=0 (8 6 2 0 1 _ 8 3 5 0 2) 	60523	89810.872	33.928	1.44E-7	0.000E0	0	0.00E0	
CH3COCH3 (16 16 0 1 _ 16 15 1 2) 	58003	89814.816	130.654	3.86E-6	0.000E0	0	0.00E0	
CH3COCH3 (7 4 3 0 _ 6 5 1 1) 	58003	89854.837	22.666	3.08E-7	0.000E0	0	0.00E0	
CH3COOH, vt=0 (17 8 9 0 0 _ 17 8 10 0 0) 	60523	89884.585	131.822	7.41E-7	0.000E0	0	0.00E0	
CH3COOH, vt=0 (17 8 9 0 0 _ 17 7 10 0 0) 	60523	89901.735	131.822	4.35E-6	0.000E0	0	0.00E0	
CH3COCH3 (15 5 10 0 _ 15 4 11 0) 	58003	89928.111	85.662	1.25E-5	0.000E0	0	0.00E0	
CH3COCH3 (15 6 10 0 _ 15 5 11 0) 	58003	89929.678	85.662	1.25E-5	0.000E0	0	0.00E0	
CH3COCH3 (11 8 4 0 _ 11 5 6 1) 	58003	89931.081	55.305	2.31E-8	0.000E0	0	0.00E0	
C2H5OH,v=0 (10 0 10 1 _ 10 1 10 0) 	46524	89947.016	106.447	7.11E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (17 8 9 0 2 _ 17 8 10 0 1) 	60523	89951.463	131.662	7.79E-7	0.000E0	0	0.00E0	
CH3NH2 (1 1 0 _ 1 0 1) 	31008	89956.068	6.445	6.71E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (17 8 9 0 2 _ 17 7 10 0 1) 	60523	89981.740	131.662	4.34E-6	0.000E0	0	0.00E0	
C2H5OH,v=0 (13 1 12 0 _ 13 1 13 0) 	46524	90007.686	135.105	4.40E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (14 14 0 0 1 _ 14 13 1 0 2) 	60523	90023.829	112.505	1.12E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (14 14 1 0 2 _ 14 13 2 0 1) 	60523	90024.902	112.505	1.12E-6	0.000E0	0	0.00E0	
C3H7CN (6 2 5 0 _ 5 1 4 0) 	69002	90033.452	8.575	1.48E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (10 4 6 0 0 _ 9 6 3 0 0) 	60523	90035.338	46.14	1.68E-8	0.000E0	0	0.00E0	
C7H (51 1 51.5 52 _ 50 -1 50.5 51) 	85501	90065.708	113.436	1.49E-4	0.000E0	0	0.00E0	
C7H (51 1 51.5 51 _ 50 -1 50.5 50) 	85501	90065.731	113.436	1.49E-4	0.000E0	0	0.00E0	
C7H (51 -1 51.5 52 _ 50 1 50.5 51) 	85501	90067.568	113.441	1.49E-4	0.000E0	0	0.00E0	
C7H (51 -1 51.5 51 _ 50 1 50.5 50) 	85501	90067.591	113.44	1.49E-4	0.000E0	0	0.00E0	
CH3COCH3 (16 16 1 0 _ 16 15 2 1) 	58003	90070.155	130.509	3.89E-6	0.000E0	0	0.00E0	
C6H (32 -1 32.5 _ 31 1 31.5) 	73501	90093.295	72.177	1.28E-4	0.000E0	0	0.00E0	
CH3COCH3 (16 16 0 0 _ 16 15 1 1) 	58003	90109.632	130.626	3.89E-6	0.000E0	0	0.00E0	
C2H5OH,v=0 (4 1 4 2 _ 3 0 3 2) 	46524	90117.601	9.35	5.23E-6	0.000E0	0	0.00E0	
C6H (32 1 32.5 _ 31 -1 31.5) 	73501	90121.407	72.193	1.28E-4	0.000E0	0	0.00E0	
C5N (32 31.5 32.5 _ 31 31.5 32.5) 	74501	90132.345	71.114	2.39E-8	0.000E0	0	0.00E0	
C5N (32 31.5 31.5 _ 31 31.5 31.5) 	74501	90135.176	71.114	2.38E-8	0.000E0	0	0.00E0	
C5N (32 31.5 30.5 _ 31 31.5 30.5) 	74501	90137.917	71.114	2.37E-8	0.000E0	0	0.00E0	
CH3OCHO (7 2 5 2 _ 6 2 4 2) 	60003	90145.723	19.684	9.74E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (17 9 9 0 0 _ 17 8 10 0 0) 	60523	90147.186	131.835	4.39E-6	0.000E0	0	0.00E0	
CH3COCH3 (14 4 10 1 _ 14 3 11 1) 	58003	90154.642	72.53	1.09E-5	0.000E0	0	0.00E0	
CH3COCH3 (14 4 10 1 _ 14 3 11 2) 	58003	90154.741	72.53	1.09E-5	0.000E0	0	0.00E0	
CH3COCH3 (14 5 10 1 _ 14 4 11 1) 	58003	90154.952	72.53	1.09E-5	0.000E0	0	0.00E0	
CH3COCH3 (14 5 10 1 _ 14 4 11 2) 	58003	90155.046	72.53	1.09E-5	0.000E0	0	0.00E0	
CH3OCHO (7 2 5 0 _ 6 2 4 0) 	60003	90156.473	19.667	9.75E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (6 2 4 0 1 _ 5 2 3 0 2) 	60523	90162.277	16.937	2.07E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (17 9 9 0 0 _ 17 7 10 0 0) 	60523	90164.336	131.835	7.48E-7	0.000E0	0	0.00E0	
C3H7CN (29 2 28 0 _ 29 1 29 0) 	69002	90169.544	96.291	1.58E-6	0.000E0	0	0.00E0	
C2H5CN (20 2 18 _ 19 3 17) 	55001	90169.617	96.098	1.27E-6	0.000E0	0	0.00E0	
CH3SH,v=0-2 (13 1 12 1 _ 12 2 10 1) 	48510	90175.069	117.156	3.22E-7	0.000E0	0	0.00E0	
CH3COOH, vt=0 (6 3 4 0 0 _ 5 2 3 0 0) 	60523	90193.753	17.421	4.45E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (13 6 7 0 0 _ 12 9 3 0 0) 	60523	90196.277	78.41	1.12E-8	0.000E0	0	0.00E0	
CH3COOH, vt=0 (8 0 8 0 0 _ 7 1 7 0 0) 	60523	90203.436	20.829	8.19E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (8 1 8 0 0 _ 7 1 7 0 0) 	60523	90203.438	20.829	2.66E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (8 0 8 0 0 _ 7 0 7 0 0) 	60523	90203.454	20.829	2.66E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (8 1 8 0 0 _ 7 0 7 0 0) 	60523	90203.456	20.829	8.19E-6	0.000E0	0	0.00E0	
CH3COCH3 (6 6 1 0 _ 6 3 4 1) 	58003	90214.459	19.735	1.83E-8	0.000E0	0	0.00E0	
CH3COCH3 (13 7 6 1 _ 12 10 3 2) 	58003	90222.628	72.803	4.49E-8	0.000E0	0	0.00E0	
CH3OCHO (8 0 8 2 _ 7 0 7 2) 	60003	90227.659	20.08	1.05E-5	0.000E0	0	0.00E0	
CH3OCHO (8 0 8 0 _ 7 0 7 0) 	60003	90229.624	20.062	1.05E-5	0.000E0	0	0.00E0	
CH3C5N (58 1 57 _ 57 1 56) 	89501	90245.272	135.322	1.24E-4	0.000E0	0	0.00E0	
CH3C5N (58 1 58 _ 57 1 57) 	89501	90245.273	135.322	1.24E-4	0.000E0	0	0.00E0	
CH3C5N (58 1 59 _ 57 1 58) 	89501	90245.273	135.322	1.24E-4	0.000E0	0	0.00E0	
CH3C5N (58 0 57 _ 57 0 56) 	89501	90245.783	127.773	1.24E-4	0.000E0	0	0.00E0	
CH3C5N (58 0 58 _ 57 0 57) 	89501	90245.783	127.773	1.24E-4	0.000E0	0	0.00E0	
CH3C5N (58 0 59 _ 57 0 58) 	89501	90245.783	127.773	1.24E-4	0.000E0	0	0.00E0	
CH3COOH, vt=0 (8 0 8 0 1 _ 7 1 7 0 2) 	60523	90246.236	20.332	8.10E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (8 1 8 0 1 _ 7 1 7 0 2) 	60523	90246.239	20.332	2.78E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (8 0 8 0 1 _ 7 0 7 0 2) 	60523	90246.266	20.332	2.78E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (8 1 8 0 1 _ 7 0 7 0 2) 	60523	90246.270	20.332	8.10E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (4 4 0 0 0 _ 4 1 4 0 0) 	60523	90259.068	10.911	9.80E-10	0.000E0	0	0.00E0	
C2H5OH,v=0 (5 1 4 2 _ 4 1 3 2) 	46524	90268.160	14.265	7.95E-9	0.000E0	0	0.00E0	
CH3C6H (58 1 _ 57 1) 	88502	90268.657	135.405	9.54E-6	0.000E0	0	0.00E0	
CH3C6H (58 0 _ 57 0) 	88502	90269.172	127.806	9.55E-6	0.000E0	0	0.00E0	
CH3COCH3 (9 7 3 0 _ 8 8 1 1) 	58003	90275.440	38.414	3.29E-7	0.000E0	0	0.00E0	
CH3COCH3 (14 8 6 0 _ 13 11 3 1) 	58003	90287.620	84.781	2.52E-8	0.000E0	0	0.00E0	
CH3COOH, vt=0 (10 5 6 0 0 _ 9 6 3 0 0) 	60523	90290.155	46.152	8.04E-8	0.000E0	0	0.00E0	
CH3COCH3 (14 4 10 0 _ 14 3 11 1) 	58003	90294.385	72.46	1.10E-5	0.000E0	0	0.00E0	
CH3COCH3 (14 5 10 0 _ 14 4 11 1) 	58003	90294.703	72.46	1.10E-5	0.000E0	0	0.00E0	
CH3COCH3 (7 2 5 1 _ 6 3 4 1) 	58003	90313.367	19.839	1.98E-5	0.000E0	0	0.00E0	
CH3COCH3 (7 2 5 1 _ 6 3 4 2) 	58003	90318.131	19.839	1.98E-5	0.000E0	0	0.00E0	
C3H7CN (23 0 23 0 _ 22 1 22 0) 	69002	90335.899	58.29	2.64E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (7 5 2 0 1 _ 7 3 5 0 2) 	60523	90347.869	26.082	1.61E-8	0.000E0	0	0.00E0	
CH3COCH3 (7 2 5 0 _ 6 3 4 1) 	58003	90351.189	19.741	1.98E-5	0.000E0	0	0.00E0	
CH3COOH, vt=0 (16 12 5 0 0 _ 16 10 6 0 0) 	60523	90356.523	128.393	8.07E-8	0.000E0	0	0.00E0	
CH3COOH, vt=0 (17 9 9 0 2 _ 17 8 10 0 1) 	60523	90365.107	131.682	4.39E-6	0.000E0	0	0.00E0	
CH3COCH3 (7 2 5 0 _ 6 3 4 0) 	58003	90386.517	19.644	1.98E-5	0.000E0	0	0.00E0	
CH3COOH, vt=0 (17 9 9 0 2 _ 17 7 10 0 1) 	60523	90395.385	131.682	7.91E-7	0.000E0	0	0.00E0	
CH3COCH3 (13 6 7 0 _ 12 9 4 0) 	58003	90396.397	70.339	1.64E-7	0.000E0	0	0.00E0	
CH3OCHO (13 10 4 1 _ 14 9 6 1) 	60003	90396.769	120.028	5.51E-8	0.000E0	0	0.00E0	
CH3COOH, vt=0 (13 7 6 0 0 _ 12 10 2 0 0) 	60523	90400.908	81.126	9.14E-9	0.000E0	0	0.00E0	
CH3COCH3 (16 16 0 0 _ 16 15 1 0) 	58003	90403.221	130.598	3.92E-6	0.000E0	0	0.00E0	
CH3COCH3 (16 16 1 0 _ 16 15 2 0) 	58003	90403.327	130.598	3.92E-6	0.000E0	0	0.00E0	
C2H5CN (15 1 14 _ 14 2 13) 	55001	90418.926	53.784	1.89E-6	0.000E0	0	0.00E0	
CH3OCHO (13 10 3 2 _ 14 9 5 2) 	60003	90426.091	120.047	5.52E-8	0.000E0	0	0.00E0	
CH3COCH3 (14 4 10 0 _ 14 3 11 0) 	58003	90433.873	72.391	1.10E-5	0.000E0	0	0.00E0	
CH3COCH3 (14 5 10 0 _ 14 4 11 0) 	58003	90434.202	72.391	1.10E-5	0.000E0	0	0.00E0	
C3H7CN (23 2 22 0 _ 23 0 23 0) 	69002	90447.478	62.631	4.68E-8	0.000E0	0	0.00E0	
C2H5CN (10 2 8 _ 9 2 7) 	55001	90453.260	28.218	5.84E-5	0.000E0	0	0.00E0	
CH3OCHO (13 10 4 0 _ 14 9 5 0) 	60003	90463.242	120.038	5.52E-8	0.000E0	0	0.00E0	
CH3OCHO (13 10 3 0 _ 14 9 6 0) 	60003	90463.242	120.038	5.52E-8	0.000E0	0	0.00E0	
